#++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++
#
#   IPW-3 Ice Shape DATA SUBMITTAL FORM for Test Case ONERAM6, May 18th 2026
#
#       NOMENCLATURE:
#             X_ICED [m]:  X-coordinate of the iced surface
#             Y_ICED [m]:  Y-coordinate of the iced surface
#             Z_ICED [m]:  Z-coordinate of the iced surface
#
#                XXmm:  Roughness height used for the case, in mm.
#                       In the zone name, use the format KS_XXmm.
#                       For example, if k_s = 1.5 mm, use KS_1p5mm. 
#                       For Variable roughness, use KS_VAR
#
#    FLOW CONDITIONS:
#                                   AOA: 2.0 deg
#                           Mach Number: 0.4 [-]
#       Mean aerodynamic chord (M.A.C.): 0.801673 [m]
#                       Reynolds Number: 4.2558 million (based on MAC)
#                       Freestream Temp: 267.15 [K]
#                        Reference area: 1.1532 [m2]
#               Moment Reference Center: 0.25, 0, 0 [m] (X, Y, Z)
#
#              NOTES: 1. Please use at least 5 decimal places in the numerical values
#                     2. If data are NOT provided, please fill data fields with a numerical value of "-999" 
#
#++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++

AUXDATA NUM_LAYERS  = "insert the number of total ice layers"
VARIABLES = "X_ICED" "Y_ICED" "Z_ICED"

ZONE T="SLICE_Y_0p1_BINS01_KS_1mm_SINGLE_LAYER"
5.653604120E-02 1.207115203E-01 6.071650889E-03
5.655577406E-02 1.206520349E-01 5.345621612E-03
5.677746609E-02 1.203855500E-01 2.980507910E-03
5.685452744E-02 1.203253120E-01 2.275688807E-03
5.723537505E-02 1.200600639E-01 1.597795927E-05
5.735044181E-02 1.200093776E-01 -6.658091443E-04
5.781548470E-02 1.197862178E-01 -2.823988907E-03
5.793803558E-02 1.197635233E-01 -3.493848024E-03
5.835358426E-02 1.196619421E-01 -5.608489737E-03
5.849187449E-02 1.196650341E-01 -6.289788987E-03
5.890273675E-02 1.196665242E-01 -8.434170857E-03
5.909280106E-02 1.196791381E-01 -9.160535410E-03
5.968523398E-02 1.196891963E-01 -1.142476220E-02
5.994093418E-02 1.197101474E-01 -1.221217494E-02
6.076617166E-02 1.197188199E-01 -1.463142503E-02
6.112353504E-02 1.197369546E-01 -1.548344176E-02
6.222408265E-02 1.197475120E-01 -1.810381748E-02
6.275327504E-02 1.197355092E-01 -1.899461821E-02
6.433605403E-02 1.196664050E-01 -2.174927853E-02
6.507955492E-02 1.196175665E-01 -2.266976796E-02
6.732941419E-02 1.194133461E-01 -2.548252977E-02
6.830981374E-02 1.193385795E-01 -2.645214088E-02
7.128383964E-02 1.190351620E-01 -2.938003838E-02
7.257069647E-02 1.189258993E-01 -3.035845980E-02
7.644841820E-02 1.185105145E-01 -3.329096735E-02
7.813261449E-02 1.183554232E-01 -3.414544463E-02
8.318527788E-02 1.177893132E-01 -3.662103042E-02
8.531330526E-02 1.176149175E-01 -3.722209856E-02
9.164245427E-02 1.169922724E-01 -3.881020471E-02
9.424161166E-02 1.168522835E-01 -3.917544708E-02
1.018696502E-01 1.163596511E-01 -3.997622430E-02
1.050484851E-01 1.162812933E-01 -4.030600563E-02
1.142750382E-01 1.160045415E-01 -4.099789634E-02
1.182700545E-01 1.159637719E-01 -4.146766663E-02
1.298027039E-01 1.158186570E-01 -4.263443500E-02
1.446161270E-01 1.156186089E-01 -4.299378023E-02
1.497084945E-01 1.155872270E-01 -4.361176118E-02
1.562210768E-01 1.155266091E-01 -4.378486797E-02
1.751063019E-01 1.152464002E-01 -4.264911637E-02
1.833225638E-01 1.151489168E-01 -4.196332395E-02
2.068418115E-01 1.149350330E-01 -4.093594477E-02
2.168933749E-01 1.148833185E-01 -4.074575752E-02
2.456831187E-01 1.148075163E-01 -4.142632335E-02
2.577441037E-01 1.148075163E-01 -4.203996062E-02
2.924199998E-01 1.148075163E-01 -4.380419478E-02
3.065970838E-01 1.148075163E-01 -4.428196326E-02
3.473568261E-01 1.148075163E-01 -4.565556720E-02
3.634626567E-01 1.148075163E-01 -4.589523003E-02
4.097675979E-01 1.148075163E-01 -4.658427462E-02
4.273605943E-01 1.148075163E-01 -4.646522552E-02
4.779411554E-01 1.148075163E-01 -4.612295702E-02
4.963476956E-01 1.148075163E-01 -4.556709155E-02
5.492672920E-01 1.148075163E-01 -4.396895692E-02
5.676738620E-01 1.148075163E-01 -4.300785437E-02
6.205934286E-01 1.148075163E-01 -4.024463519E-02
6.381863952E-01 1.148075163E-01 -3.901979327E-02
6.887669563E-01 1.148075163E-01 -3.549832106E-02
7.048727870E-01 1.148075163E-01 -3.418391943E-02
7.511777282E-01 1.148075163E-01 -3.040495701E-02
7.653548121E-01 1.148075163E-01 -2.912902646E-02
8.061146140E-01 1.148075163E-01 -2.546066791E-02
8.181756139E-01 1.148075163E-01 -2.428731881E-02
8.528514504E-01 1.148075163E-01 -2.091389149E-02
8.628257513E-01 1.148075163E-01 -1.986969076E-02
8.915020823E-01 1.148075163E-01 -1.686756499E-02
8.995674253E-01 1.148075163E-01 -1.596559770E-02
9.227555394E-01 1.148075163E-01 -1.337240078E-02
9.411901236E-01 1.148075163E-01 -1.120314095E-02
9.476020336E-01 1.148075163E-01 -1.044862717E-02
9.526381493E-01 1.148075163E-01 -9.836778976E-03
9.671171308E-01 1.148075163E-01 -8.077689447E-03
9.710410237E-01 1.148075163E-01 -7.594414521E-03
9.823223352E-01 1.148075163E-01 -6.204979029E-03
9.853652716E-01 1.148075163E-01 -5.830133334E-03
9.941137433E-01 1.148075163E-01 -4.752436187E-03
9.964683056E-01 1.148075163E-01 -4.463282879E-03
1.003237724E+00 1.148075163E-01 -3.631955711E-03
1.005059004E+00 1.148075163E-01 -3.407888580E-03
1.010295033E+00 1.148075163E-01 -2.763685538E-03
1.011704683E+00 1.148075163E-01 -2.589138458E-03
1.015757561E+00 1.148075163E-01 -2.087308560E-03
1.016849875E+00 1.148075163E-01 -1.950989594E-03
1.019990087E+00 1.148075163E-01 -1.559066586E-03
1.020836949E+00 1.148075163E-01 -1.452546683E-03
1.023271680E+00 1.148075163E-01 -1.146297553E-03
1.023927569E+00 1.148075163E-01 -1.063201926E-03
1.025813460E+00 1.148075163E-01 -8.242985350E-04
1.026319742E+00 1.148075163E-01 -7.598003140E-04
1.027774930E+00 1.148075163E-01 -5.743653164E-04
1.028162003E+00 1.148075163E-01 -5.248294910E-04
1.029274940E+00 1.148075163E-01 -3.824119049E-04
1.029565692E+00 1.148075163E-01 -3.451063239E-04
1.030401826E+00 1.148075163E-01 -2.378511708E-04
1.030612946E+00 1.148075163E-01 -2.107371110E-04
1.031219840E+00 1.148075163E-01 -1.327830250E-04
1.031363010E+00 1.148075163E-01 -1.143900736E-04
1.031774521E+00 1.148075163E-01 -6.150953413E-05
1.031857491E+00 1.148075163E-01 -5.085069643E-05
1.032095909E+00 1.148075163E-01 -2.020607826E-05
1.032173991E+00 1.148075163E-01 -5.214413704E-06
1.032201171E+00 1.148075163E-01 0.000000000E+00

ZONE T="SLICE_Y_0p75_BINS01_KS_1mm_SINGLE_LAYER"
1.210194707E+00 7.483533025E-01 0.000000000E+00
1.210145593E+00 7.483533025E-01 9.424830751E-06
1.210109830E+00 7.483533025E-01 1.627812526E-05
1.209959984E+00 7.483533025E-01 3.554351861E-05
1.209851027E+00 7.483533025E-01 4.955241093E-05
1.209592223E+00 7.483533025E-01 8.279689791E-05
1.209404230E+00 7.483533025E-01 1.069707287E-04
1.209022641E+00 7.483533025E-01 1.559782395E-04
1.208745122E+00 7.483533025E-01 1.916141919E-04
1.208219528E+00 7.483533025E-01 2.590424265E-04
1.207837224E+00 7.483533025E-01 3.080730967E-04
1.207137585E+00 7.483533025E-01 3.976069856E-04
1.206628799E+00 7.483533025E-01 4.627118178E-04
1.205713987E+00 7.483533025E-01 5.792895099E-04
1.205048800E+00 7.483533025E-01 6.640593638E-04
1.203863144E+00 7.483533025E-01 8.142511360E-04
1.203001142E+00 7.483533025E-01 9.234635509E-04
1.201470494E+00 7.483533025E-01 1.115993597E-03
1.200357437E+00 7.483533025E-01 1.255992451E-03
1.198383212E+00 7.483533025E-01 1.502383268E-03
1.196947575E+00 7.483533025E-01 1.681547030E-03
1.194399714E+00 7.483533025E-01 1.997033367E-03
1.192546964E+00 7.483533025E-01 2.226440003E-03
1.189255238E+00 7.483533025E-01 2.631431911E-03
1.186861634E+00 7.483533025E-01 2.925923094E-03
1.182605863E+00 7.483533025E-01 3.448555013E-03
1.179511189E+00 7.483533025E-01 3.828588175E-03
1.174011350E+00 7.483533025E-01 4.506106023E-03
1.170011997E+00 7.483533025E-01 4.998764955E-03
1.162919760E+00 7.483533025E-01 5.872263107E-03
1.157762647E+00 7.483533025E-01 6.507430691E-03
1.151143670E+00 7.483533025E-01 7.311581634E-03
1.142041206E+00 7.483533025E-01 8.417471312E-03
1.130451918E+00 7.483533025E-01 9.781222790E-03
1.122024655E+00 7.483533025E-01 1.077287830E-02
1.107447028E+00 7.483533025E-01 1.240314730E-02
1.096846819E+00 7.483533025E-01 1.358860172E-02
1.078818798E+00 7.483533025E-01 1.547595207E-02
1.065709591E+00 7.483533025E-01 1.684834436E-02
1.043909907E+00 7.483533025E-01 1.896912232E-02
