#++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++
#
#   IPW-3 Final Ice Shape DATA SUBMITTAL FORM for Test Case ONERAM6, May 18th 2026
#
#       NOMENCLATURE:
#             X_ICED [m]:  X-coordinate of the iced surface
#             Y_ICED [m]:  Y-coordinate of the iced surface
#             Z_ICED [m]:  Z-coordinate of the iced surface
#
#                XXmm:  Roughness height used for the case, in mm.
#                       In the zone name, use the format KS_XXmm.
#                       For example, if k_s = 1.5 mm, use KS_1p5mm.
#                       For Variable roughness, use KS_VAR
#
#    FLOW CONDITIONS:
#                                  AOA: 2.0 deg
#                           Mach Number: 0.4 [-]
#       Mean aerodynamic chord (M.A.C.): 0.801673 [m]
#                       Reynolds Number: 4.2558 million (based on MAC)
#                       Freestream Temp: 267.15 [K]
#                        Reference area: 1.1532 [m2]
#               Moment Reference Center: 0.25, 0, 0 [m] (X, Y, Z)
#
#    ICING CONDITIONS:
#                           Icing Time: 1350 [s]
#                                  LWC: 0.51 [g/m3]
#                                  MVD: 20 [μm]
#
#              NOTES: 1. Please use at least 5 decimal places in the numerical values
#                     2. If data are NOT provided, please fill data fields with a numerical value of "-999"
#
#++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++

TITLE = "002_ONERAM6_01"
FILETYPE = FULL
AUXDATA NUM_LAYERS = "1"
AUXDATA DATA_TYPE = "SLICE"
VARIABLES = "X_ICED" "Y_ICED" "Z_ICED"
ZONE T="SLICE_Y_0p1_BINS01_KS_1mm_SINGLE_LAYER"
 I=96, J=1, K=1, DATAPACKING=POINT
0.41095 0.75000 0.00000
0.40923 0.75000 0.00363
0.40802 0.75000 0.00749
0.40668 0.75000 0.01174
0.40645 0.75000 0.01622
0.40701 0.75000 0.02095
0.40746 0.75000 0.02646
0.40981 0.75000 0.03177
0.41409 0.75000 0.03660
0.41960 0.75000 0.04147
0.42664 0.75000 0.04599
0.43655 0.75000 0.04687
0.44943 0.75000 0.03878
0.46100 0.75000 0.02996
0.47145 0.75000 0.02809
0.48398 0.75000 0.02807
0.49983 0.75000 0.02840
0.51974 0.75000 0.02995
0.54476 0.75000 0.03175
0.57577 0.75000 0.03350
0.61337 0.75000 0.03537
0.65773 0.75000 0.03694
0.70833 0.75000 0.03779
0.76376 0.75000 0.03750
0.82185 0.75000 0.03574
0.87994 0.75000 0.03261
0.93537 0.75000 0.02864
0.98596 0.75000 0.02443
1.03033 0.75000 0.02041
1.06792 0.75000 0.01674
1.09888 0.75000 0.01347
1.12384 0.75000 0.01065
1.14362 0.75000 0.00830
1.15912 0.75000 0.00640
1.17118 0.75000 0.00491
1.18052 0.75000 0.00376
1.18775 0.75000 0.00287
1.19334 0.75000 0.00219
1.19766 0.75000 0.00165
1.20101 0.75000 0.00123
1.20361 0.75000 0.00090
1.20563 0.75000 0.00065
1.20718 0.75000 0.00045
1.20838 0.75000 0.00030
1.20927 0.75000 0.00018
1.20992 0.75000 0.00010
1.21036 0.75000 0.00004
ZONE T="SLICE_Y_1p4_BINS01_KS_1mm_SINGLE_LAYER"
 I=98, J=1, K=1, DATAPACKING=POINT
1.39305 1.40000 -0.00003
1.39272 1.40000 -0.00008
1.39223 1.40000 -0.00014
1.39156 1.40000 -0.00022
1.39066 1.40000 -0.00034
1.38949 1.40000 -0.00049
1.38797 1.40000 -0.00068
1.38602 1.40000 -0.00093
1.38349 1.40000 -0.00124
1.38025 1.40000 -0.00165
1.37604 1.40000 -0.00216
1.37060 1.40000 -0.00283
1.36358 1.40000 -0.00369
1.35450 1.40000 -0.00482
1.34284 1.40000 -0.00624
1.32796 1.40000 -0.00801
1.30919 1.40000 -0.01013
1.28590 1.40000 -0.01259
1.25762 1.40000 -0.01536
1.22424 1.40000 -0.01838
1.18618 1.40000 -0.02154
1.14448 1.40000 -0.02453
1.10079 1.40000 -0.02689
1.05708 1.40000 -0.02821
1.01538 1.40000 -0.02843
0.97732 1.40000 -0.02779
0.94395 1.40000 -0.02660
0.91567 1.40000 -0.02517
0.89235 1.40000 -0.02374
0.87353 1.40000 -0.02241
0.85765 1.40000 -0.02690
0.84336 1.40000 -0.03859
0.83233 1.40000 -0.04401
0.82451 1.40000 -0.04126
0.81759 1.40000 -0.03794
0.81098 1.40000 -0.03516
0.80899 1.40000 -0.03442
0.80468 1.40000 -0.03276
0.79967 1.40000 -0.02945
0.79641 1.40000 -0.02535
0.79440 1.40000 -0.02124
0.79306 1.40000 -0.01751
0.79151 1.40000 -0.01442
0.79071 1.40000 -0.01130
0.79098 1.40000 -0.00814
0.79082 1.40000 -0.00539
0.78954 1.40000 -0.00281
0.78674 1.40000 0.00000
0.78403 1.40000 0.00331
0.78237 1.40000 0.00694
0.78116 1.40000 0.01084
0.78073 1.40000 0.01501
0.78077 1.40000 0.01956
0.78163 1.40000 0.02436
0.78377 1.40000 0.02912
0.78696 1.40000 0.03406
0.79213 1.40000 0.03825
0.79958 1.40000 0.04053
0.80870 1.40000 0.03989
0.81089 1.40000 0.03829
0.81955 1.40000 0.03229
0.82897 1.40000 0.02394
0.83687 1.40000 0.02262
0.84623 1.40000 0.02318
0.85812 1.40000 0.02398
0.87324 1.40000 0.02457
0.89221 1.40000 0.02502
0.91562 1.40000 0.02570
0.94394 1.40000 0.02666
0.97732 1.40000 0.02779
1.01538 1.40000 0.02843
1.05708 1.40000 0.02821
1.10079 1.40000 0.02689
1.14448 1.40000 0.02453
1.18618 1.40000 0.02154
1.22424 1.40000 0.01838
1.25762 1.40000 0.01536
1.28590 1.40000 0.01259
1.30919 1.40000 0.01013
1.32796 1.40000 0.00801
1.34284 1.40000 0.00624
1.35450 1.40000 0.00482
1.36358 1.40000 0.00369
1.37060 1.40000 0.00283
1.37604 1.40000 0.00216
1.38025 1.40000 0.00165
1.38349 1.40000 0.00124
1.38602 1.40000 0.00093
1.38797 1.40000 0.00068
1.38949 1.40000 0.00049
1.39066 1.40000 0.00034
1.39156 1.40000 0.00022
1.39223 1.40000 0.00014
1.39272 1.40000 0.00008
1.39331 1.40000 0.00000
1.39324 1.40000 -0.00001
1.39324 1.40000 0.00001
1.39305 1.40000 0.00003
ZONE T="SLICE_Y_0p1_BINS03_KS_1mm_SINGLE_LAYER"
 I=96, J=1, K=1, DATAPACKING=POINT
1.02799 0.10000 0.00001
1.02799 0.10000 -0.00001
1.02810 0.10000 0.00000
1.02767 0.10000 -0.00005
1.02712 0.10000 -0.00013
1.02631 0.10000 -0.00023
1.02520 0.10000 -0.00037
1.02371 0.10000 -0.00056
1.02177 0.10000 -0.00081
1.01926 0.10000 -0.00113
1.01601 0.10000 -0.00154
1.01183 0.10000 -0.00206
1.00643 0.10000 -0.00273
0.99946 0.10000 -0.00359
0.99044 0.10000 -0.00469
0.97878 0.10000 -0.00613
0.96374 0.10000 -0.00799
0.94439 0.10000 -0.01035
0.91971 0.10000 -0.01329
0.88858 0.10000 -0.01680
0.84994 0.10000 -0.02088
0.80304 0.10000 -0.02547
0.74768 0.10000 -0.03049
0.68455 0.10000 -0.03573
0.61539 0.10000 -0.04069
0.54291 0.10000 -0.04460
0.47043 0.10000 -0.04679
0.40127 0.10000 -0.04715
0.33814 0.10000 -0.04609
0.28279 0.10000 -0.04413
0.23588 0.10000 -0.04168
0.19724 0.10000 -0.03908
0.16607 0.10000 -0.03654
0.14131 0.10000 -0.03429
0.12112 0.10000 -0.03623
0.10409 0.10000 -0.04270
0.09008 0.10000 -0.04748
0.07835 0.10000 -0.04806
0.06894 0.10000 -0.04445
0.06189 0.10000 -0.03897
0.05659 0.10000 -0.03357
0.05271 0.10000 -0.02856
0.04956 0.10000 -0.02424
0.04696 0.10000 -0.02038
0.04497 0.10000 -0.01672
0.04330 0.10000 -0.01328
0.04193 0.10000 -0.00996
0.04110 0.10000 -0.00668
0.03974 0.10000 -0.00347
0.03846 0.10000 0.00000
0.03804 0.10000 0.00363
0.03731 0.10000 0.00737
0.03689 0.10000 0.01135
0.03670 0.10000 0.01574
0.03679 0.10000 0.02064
0.03825 0.10000 0.02560
0.04059 0.10000 0.03090
0.04411 0.10000 0.03648
0.04884 0.10000 0.04262
0.05536 0.10000 0.04891
0.06522 0.10000 0.05215
0.07782 0.10000 0.04960
0.09182 0.10000 0.04073
0.10602 0.10000 0.03362
0.12166 0.10000 0.03333
0.14117 0.10000 0.03519
0.16592 0.10000 0.03767
0.19715 0.10000 0.03989
0.23586 0.10000 0.04189
0.28278 0.10000 0.04413
0.33814 0.10000 0.04609
0.40127 0.10000 0.04715
0.47043 0.10000 0.04679
0.54291 0.10000 0.04460
0.61539 0.10000 0.04069
0.68455 0.10000 0.03573
0.74768 0.10000 0.03049
0.80304 0.10000 0.02547
0.84994 0.10000 0.02088
0.88858 0.10000 0.01680
0.91971 0.10000 0.01329
0.94439 0.10000 0.01035
0.96374 0.10000 0.00799
0.97878 0.10000 0.00613
0.99044 0.10000 0.00469
0.99946 0.10000 0.00359
1.00643 0.10000 0.00273
1.01183 0.10000 0.00206
1.01601 0.10000 0.00154
1.01926 0.10000 0.00113
1.02177 0.10000 0.00081
1.02371 0.10000 0.00056
1.02520 0.10000 0.00037
1.02631 0.10000 0.00023
1.02712 0.10000 0.00013
1.02767 0.10000 0.00005
ZONE T="SLICE_Y_0p75_BINS03_KS_1mm_SINGLE_LAYER"
 I=96, J=1, K=1, DATAPACKING=POINT
1.21061 0.75000 0.00001
1.21061 0.75000 -0.00001
1.21070 0.75000 0.00000
1.21036 0.75000 -0.00004
1.20992 0.75000 -0.00010
1.20927 0.75000 -0.00018
1.20838 0.75000 -0.00030
1.20718 0.75000 -0.00045
1.20563 0.75000 -0.00065
1.20361 0.75000 -0.00090
1.20101 0.75000 -0.00123
1.19766 0.75000 -0.00165
1.19334 0.75000 -0.00219
1.18775 0.75000 -0.00287
1.18052 0.75000 -0.00376
1.17118 0.75000 -0.00491
1.15912 0.75000 -0.00640
1.14362 0.75000 -0.00830
1.12384 0.75000 -0.01065
1.09888 0.75000 -0.01347
1.06792 0.75000 -0.01674
1.03033 0.75000 -0.02041
0.98596 0.75000 -0.02443
0.93537 0.75000 -0.02864
0.87994 0.75000 -0.03261
0.82185 0.75000 -0.03574
0.76376 0.75000 -0.03750
0.70833 0.75000 -0.03779
0.65773 0.75000 -0.03694
0.61337 0.75000 -0.03536
0.57578 0.75000 -0.03340
0.54481 0.75000 -0.03124
0.51985 0.75000 -0.02913
0.49972 0.75000 -0.02909
0.48263 0.75000 -0.03534
0.46732 0.75000 -0.04753
0.45518 0.75000 -0.05258
0.44631 0.75000 -0.04779
0.43870 0.75000 -0.04242
0.43228 0.75000 -0.03740
0.42729 0.75000 -0.03249
0.42383 0.75000 -0.02763
0.42122 0.75000 -0.02331
0.41937 0.75000 -0.01933
0.41803 0.75000 -0.01567
0.41656 0.75000 -0.01245
0.41574 0.75000 -0.00925
0.41497 0.75000 -0.00621
0.41343 0.75000 -0.00325
0.41058 0.75000 0.00000
0.40854 0.75000 0.00370
0.40779 0.75000 0.00753
0.40662 0.75000 0.01176
0.40609 0.75000 0.01635
0.40659 0.75000 0.02115
0.40751 0.75000 0.02643
0.40979 0.75000 0.03178
0.41387 0.75000 0.03681
0.41935 0.75000 0.04176
0.42621 0.75000 0.04664
0.43568 0.75000 0.04867
0.44830 0.75000 0.04206
0.46060 0.75000 0.03153
0.47173 0.75000 0.02680
0.48424 0.75000 0.02669
0.49993 0.75000 0.02777
0.51980 0.75000 0.02950
0.54479 0.75000 0.03139
0.57578 0.75000 0.03340
0.61337 0.75000 0.03536
0.65773 0.75000 0.03694
0.70833 0.75000 0.03779
0.76376 0.75000 0.03750
0.82185 0.75000 0.03574
0.87994 0.75000 0.03261
0.93537 0.75000 0.02864
0.98596 0.75000 0.02443
1.03033 0.75000 0.02041
1.06792 0.75000 0.01674
1.09888 0.75000 0.01347
1.12384 0.75000 0.01065
1.14362 0.75000 0.00830
1.15912 0.75000 0.00640
1.17118 0.75000 0.00491
1.18052 0.75000 0.00376
1.18775 0.75000 0.00287
1.19334 0.75000 0.00219
1.19766 0.75000 0.00165
1.20101 0.75000 0.00123
1.20361 0.75000 0.00090
1.20563 0.75000 0.00065
1.20718 0.75000 0.00045
1.20838 0.75000 0.00030
1.20927 0.75000 0.00018
1.20992 0.75000 0.00010
1.21036 0.75000 0.00004
ZONE T="SLICE_Y_1p4_BINS03_KS_1mm_SINGLE_LAYER"
 I=98, J=1, K=1, DATAPACKING=POINT
1.39305 1.40000 0.00003
1.39305 1.40000 -0.00003
1.39324 1.40000 -0.00001
1.39324 1.40000 0.00001
1.39331 1.40000 0.00000
1.39272 1.40000 -0.00008
1.39223 1.40000 -0.00014
1.39156 1.40000 -0.00022
1.39066 1.40000 -0.00034
1.38949 1.40000 -0.00049
1.38797 1.40000 -0.00068
1.38602 1.40000 -0.00093
1.38349 1.40000 -0.00124
1.38025 1.40000 -0.00165
1.37604 1.40000 -0.00216
1.37060 1.40000 -0.00283
1.36358 1.40000 -0.00369
1.35450 1.40000 -0.00482
1.34284 1.40000 -0.00624
1.32796 1.40000 -0.00801
1.30919 1.40000 -0.01013
1.28590 1.40000 -0.01259
1.25762 1.40000 -0.01536
1.22424 1.40000 -0.01838
1.18618 1.40000 -0.02154
1.14448 1.40000 -0.02453
1.10079 1.40000 -0.02689
1.05708 1.40000 -0.02821
1.01538 1.40000 -0.02843
0.97732 1.40000 -0.02779
0.94395 1.40000 -0.02660
0.91567 1.40000 -0.02513
0.89238 1.40000 -0.02351
0.87350 1.40000 -0.02261
0.85756 1.40000 -0.02750
0.84326 1.40000 -0.03910
0.83218 1.40000 -0.04474
0.82431 1.40000 -0.04202
0.81733 1.40000 -0.03868
0.81058 1.40000 -0.03599
0.80946 1.40000 -0.03559
0.80407 1.40000 -0.03369
0.79879 1.40000 -0.03049
0.79523 1.40000 -0.02644
0.79325 1.40000 -0.02210
0.79220 1.40000 -0.01802
0.79104 1.40000 -0.01464
0.78992 1.40000 -0.01159
0.78997 1.40000 -0.00842
0.78975 1.40000 -0.00559
0.78810 1.40000 -0.00294
0.78594 1.40000 0.00000
0.78437 1.40000 0.00328
0.78338 1.40000 0.00676
0.78220 1.40000 0.01055
0.78141 1.40000 0.01476
0.78132 1.40000 0.01930
0.78193 1.40000 0.02417
0.78394 1.40000 0.02900
0.78742 1.40000 0.03364
0.79270 1.40000 0.03759
0.79966 1.40000 0.04040
0.80760 1.40000 0.04215
0.81240 1.40000 0.04181
0.81631 1.40000 0.04165
0.82695 1.40000 0.03179
0.83702 1.40000 0.02192
0.84658 1.40000 0.02132
0.85841 1.40000 0.02216
0.87341 1.40000 0.02329
0.89229 1.40000 0.02431
0.91565 1.40000 0.02537
0.94395 1.40000 0.02660
0.97732 1.40000 0.02779
1.01538 1.40000 0.02843
1.05708 1.40000 0.02821
1.10079 1.40000 0.02689
1.14448 1.40000 0.02453
1.18618 1.40000 0.02154
1.22424 1.40000 0.01838
1.25762 1.40000 0.01536
1.28590 1.40000 0.01259
1.30919 1.40000 0.01013
1.32796 1.40000 0.00801
