VARIABLES = "X_ICED" "Y_ICED" "Z_ICED"

ZONE T="SLICE_Y_0p10_BINS07_KS_0p5mm_SINGLE_LAYER"
1.310900e-01 1.000000e-01 3.332506e-02
1.264511e-01 1.000000e-01 3.365056e-02
1.222360e-01 1.000000e-01 3.442035e-02
1.184723e-01 1.000000e-01 3.559007e-02
1.150480e-01 1.000000e-01 3.699999e-02
1.117143e-01 1.000000e-01 3.843441e-02
1.082551e-01 1.000000e-01 3.970160e-02
1.046464e-01 1.000000e-01 4.069176e-02
1.010297e-01 1.000000e-01 4.139844e-02
9.756123e-02 1.000000e-01 4.188069e-02
9.431353e-02 1.000000e-01 4.219794e-02
9.127760e-02 1.000000e-01 4.237953e-02
8.840885e-02 1.000000e-01 4.243492e-02
8.566318e-02 1.000000e-01 4.237063e-02
8.301046e-02 1.000000e-01 4.219570e-02
8.043281e-02 1.000000e-01 4.191941e-02
7.791978e-02 1.000000e-01 4.154914e-02
7.546675e-02 1.000000e-01 4.109029e-02
7.307406e-02 1.000000e-01 4.054717e-02
7.074548e-02 1.000000e-01 3.992336e-02
6.848748e-02 1.000000e-01 3.922233e-02
6.630776e-02 1.000000e-01 3.844822e-02
6.421361e-02 1.000000e-01 3.760599e-02
6.221177e-02 1.000000e-01 3.670155e-02
6.030794e-02 1.000000e-01 3.574158e-02
5.850607e-02 1.000000e-01 3.473295e-02
5.680878e-02 1.000000e-01 3.368268e-02
5.521725e-02 1.000000e-01 3.259782e-02
5.373052e-02 1.000000e-01 3.148467e-02
5.234692e-02 1.000000e-01 3.034935e-02
5.106440e-02 1.000000e-01 2.919805e-02
4.988009e-02 1.000000e-01 2.803645e-02
4.879079e-02 1.000000e-01 2.686992e-02
4.779280e-02 1.000000e-01 2.570344e-02
4.688119e-02 1.000000e-01 2.454047e-02
4.605118e-02 1.000000e-01 2.338414e-02
4.529822e-02 1.000000e-01 2.223756e-02
4.461730e-02 1.000000e-01 2.110259e-02
4.400406e-02 1.000000e-01 1.998129e-02
4.345434e-02 1.000000e-01 1.887592e-02
4.296363e-02 1.000000e-01 1.778765e-02
4.252798e-02 1.000000e-01 1.671840e-02
4.214343e-02 1.000000e-01 1.566975e-02
4.180584e-02 1.000000e-01 1.464209e-02
4.151160e-02 1.000000e-01 1.363684e-02
4.125660e-02 1.000000e-01 1.265303e-02
4.103728e-02 1.000000e-01 1.168899e-02
4.085106e-02 1.000000e-01 1.074567e-02
4.069559e-02 1.000000e-01 9.825589e-03
4.056873e-02 1.000000e-01 8.932526e-03
4.046686e-02 1.000000e-01 8.059609e-03
4.038673e-02 1.000000e-01 7.196372e-03
4.032764e-02 1.000000e-01 6.350287e-03
4.028896e-02 1.000000e-01 5.547014e-03
4.026590e-02 1.000000e-01 4.783493e-03
4.025540e-02 1.000000e-01 3.980510e-03
4.026300e-02 1.000000e-01 3.143539e-03
4.028288e-02 1.000000e-01 2.451114e-03
4.030522e-02 1.000000e-01 1.846929e-03
4.035750e-02 1.000000e-01 9.022514e-04
4.044498e-02 1.000000e-01 -1.554347e-04
4.052021e-02 1.000000e-01 -8.687907e-04
4.054754e-02 1.000000e-01 -1.109362e-03
4.054754e-02 1.000000e-01 -1.109362e-03
4.057505e-02 1.000000e-01 -1.348660e-03
4.066155e-02 1.000000e-01 -2.046723e-03
4.080795e-02 1.000000e-01 -3.055599e-03
4.095772e-02 1.000000e-01 -3.934455e-03
4.105901e-02 1.000000e-01 -4.485257e-03
4.117921e-02 1.000000e-01 -5.105791e-03
4.133507e-02 1.000000e-01 -5.843568e-03
4.149419e-02 1.000000e-01 -6.540335e-03
4.165272e-02 1.000000e-01 -7.194285e-03
4.182822e-02 1.000000e-01 -7.875179e-03
4.202347e-02 1.000000e-01 -8.585737e-03
4.223356e-02 1.000000e-01 -9.304730e-03
4.245760e-02 1.000000e-01 -1.002694e-02
4.269925e-02 1.000000e-01 -1.076205e-02
4.296167e-02 1.000000e-01 -1.151656e-02
4.324568e-02 1.000000e-01 -1.228828e-02
4.355259e-02 1.000000e-01 -1.307629e-02
4.388400e-02 1.000000e-01 -1.388109e-02
4.424263e-02 1.000000e-01 -1.470546e-02
4.463169e-02 1.000000e-01 -1.555171e-02
4.505390e-02 1.000000e-01 -1.642016e-02
4.551277e-02 1.000000e-01 -1.731182e-02
4.601177e-02 1.000000e-01 -1.822641e-02
4.655468e-02 1.000000e-01 -1.916307e-02
4.714604e-02 1.000000e-01 -2.012132e-02
4.779019e-02 1.000000e-01 -2.109955e-02
4.849174e-02 1.000000e-01 -2.209616e-02
4.925592e-02 1.000000e-01 -2.310970e-02
5.008760e-02 1.000000e-01 -2.413759e-02
5.099193e-02 1.000000e-01 -2.517727e-02
5.197434e-02 1.000000e-01 -2.622598e-02
5.303934e-02 1.000000e-01 -2.727960e-02
5.419125e-02 1.000000e-01 -2.833363e-02
5.543438e-02 1.000000e-01 -2.938324e-02
5.677248e-02 1.000000e-01 -3.042309e-02
5.820918e-02 1.000000e-01 -3.144771e-02
5.974763e-02 1.000000e-01 -3.245133e-02
6.138914e-02 1.000000e-01 -3.342721e-02
6.313377e-02 1.000000e-01 -3.436836e-02
6.498029e-02 1.000000e-01 -3.526774e-02
6.692548e-02 1.000000e-01 -3.611835e-02
6.896443e-02 1.000000e-01 -3.691394e-02
7.109042e-02 1.000000e-01 -3.764934e-02
7.329446e-02 1.000000e-01 -3.832066e-02
7.556623e-02 1.000000e-01 -3.892567e-02
7.789523e-02 1.000000e-01 -3.946374e-02
8.027191e-02 1.000000e-01 -3.993592e-02
8.269006e-02 1.000000e-01 -4.034544e-02
8.514876e-02 1.000000e-01 -4.069783e-02
8.765344e-02 1.000000e-01 -4.100113e-02
9.021742e-02 1.000000e-01 -4.126579e-02
9.286242e-02 1.000000e-01 -4.150426e-02
9.561739e-02 1.000000e-01 -4.172978e-02
9.851748e-02 1.000000e-01 -4.195408e-02
1.016026e-01 1.000000e-01 -4.218433e-02
1.049162e-01 1.000000e-01 -4.242021e-02
1.085081e-01 1.000000e-01 -4.265114e-02
1.124313e-01 1.000000e-01 -4.285028e-02
1.167268e-01 1.000000e-01 -4.296226e-02
1.213907e-01 1.000000e-01 -4.289109e-02
1.263408e-01 1.000000e-01 -4.251384e-02
1.314301e-01 1.000000e-01 -4.174143e-02
1.365457e-01 1.000000e-01 -4.060283e-02
1.417286e-01 1.000000e-01 -3.927864e-02
1.471599e-01 1.000000e-01 -3.804734e-02
1.530071e-01 1.000000e-01 -3.716615e-02
1.593191e-01 1.000000e-01 -3.675845e-02
1.660676e-01 1.000000e-01 -3.678959e-02
1.732263e-01 1.000000e-01 -3.713911e-02
1.807968e-01 1.000000e-01 -3.767878e-02
1.887968e-01 1.000000e-01 -3.831357e-02
1.972472e-01 1.000000e-01 -3.898640e-02
2.061662e-01 1.000000e-01 -3.966854e-02
2.155697e-01 1.000000e-01 -4.034723e-02
2.254713e-01 1.000000e-01 -4.101728e-02
2.358827e-01 1.000000e-01 -4.167532e-02
2.468135e-01 1.000000e-01 -4.231845e-02
2.582714e-01 1.000000e-01 -4.294361e-02
2.702611e-01 1.000000e-01 -4.354725e-02
2.827848e-01 1.000000e-01 -4.412567e-02
2.958413e-01 1.000000e-01 -4.467424e-02
3.094260e-01 1.000000e-01 -4.518796e-02
3.235304e-01 1.000000e-01 -4.566082e-02
3.381424e-01 1.000000e-01 -4.608622e-02
3.532453e-01 1.000000e-01 -4.645672e-02
3.688185e-01 1.000000e-01 -4.676412e-02
3.848368e-01 1.000000e-01 -4.699954e-02
4.012709e-01 1.000000e-01 -4.715391e-02
4.180871e-01 1.000000e-01 -4.721828e-02
4.352478e-01 1.000000e-01 -4.718403e-02
4.527116e-01 1.000000e-01 -4.704323e-02
4.704336e-01 1.000000e-01 -4.678968e-02
4.883659e-01 1.000000e-01 -4.641940e-02
5.064583e-01 1.000000e-01 -4.592982e-02
5.246585e-01 1.000000e-01 -4.532120e-02
5.429130e-01 1.000000e-01 -4.459679e-02
5.611674e-01 1.000000e-01 -4.376246e-02
5.793676e-01 1.000000e-01 -4.282642e-02
5.974600e-01 1.000000e-01 -4.179886e-02
6.153924e-01 1.000000e-01 -4.069165e-02
6.331143e-01 1.000000e-01 -3.951791e-02
6.505781e-01 1.000000e-01 -3.829103e-02
6.677388e-01 1.000000e-01 -3.702416e-02
6.845550e-01 1.000000e-01 -3.572984e-02
7.009891e-01 1.000000e-01 -3.441962e-02
7.170074e-01 1.000000e-01 -3.310362e-02
7.325806e-01 1.000000e-01 -3.179040e-02
7.476835e-01 1.000000e-01 -3.048709e-02
7.622955e-01 1.000000e-01 -2.919939e-02
7.763999e-01 1.000000e-01 -2.793166e-02
7.899846e-01 1.000000e-01 -2.668718e-02
8.030411e-01 1.000000e-01 -2.546838e-02
8.155648e-01 1.000000e-01 -2.427716e-02
8.275545e-01 1.000000e-01 -2.311491e-02
8.390124e-01 1.000000e-01 -2.198275e-02
8.499432e-01 1.000000e-01 -2.088155e-02
8.603546e-01 1.000000e-01 -1.981221e-02
8.702562e-01 1.000000e-01 -1.877564e-02
8.796596e-01 1.000000e-01 -1.777269e-02
8.885783e-01 1.000000e-01 -1.680418e-02
8.970267e-01 1.000000e-01 -1.587076e-02
9.050205e-01 1.000000e-01 -1.497310e-02
9.125763e-01 1.000000e-01 -1.411173e-02
9.197111e-01 1.000000e-01 -1.328691e-02
9.264424e-01 1.000000e-01 -1.249890e-02
9.327879e-01 1.000000e-01 -1.174771e-02
9.387652e-01 1.000000e-01 -1.103309e-02
9.443919e-01 1.000000e-01 -1.035464e-02
9.496854e-01 1.000000e-01 -9.711728e-03
9.546628e-01 1.000000e-01 -9.103589e-03
9.593406e-01 1.000000e-01 -8.529421e-03
9.637350e-01 1.000000e-01 -7.988208e-03
9.678617e-01 1.000000e-01 -7.478677e-03
9.717358e-01 1.000000e-01 -6.999406e-03
9.753716e-01 1.000000e-01 -6.549003e-03
9.787831e-01 1.000000e-01 -6.126503e-03
9.819835e-01 1.000000e-01 -5.730975e-03
9.849854e-01 1.000000e-01 -5.361184e-03
9.878008e-01 1.000000e-01 -5.015289e-03
