VARIABLES = "X_ICED" "Y_ICED" "Z_ICED"

ZONE T="SLICE_Y_0p10_BINS07_KS_0p5mm_SINGLE_LAYER"
1.028093e+00 1.000000e-01 0.000000e+00
1.028067e+00 1.000000e-01 3.342607e-06
1.027989e+00 1.000000e-01 1.341419e-05
1.027857e+00 1.000000e-01 3.034682e-05
1.027670e+00 1.000000e-01 5.436315e-05
1.027426e+00 1.000000e-01 8.578036e-05
1.027121e+00 1.000000e-01 1.250155e-04
1.026750e+00 1.000000e-01 1.725926e-04
1.026310e+00 1.000000e-01 2.291511e-04
1.025793e+00 1.000000e-01 2.954562e-04
1.025194e+00 1.000000e-01 3.724096e-04
1.024502e+00 1.000000e-01 4.610623e-04
1.023709e+00 1.000000e-01 5.626273e-04
1.022802e+00 1.000000e-01 6.784907e-04
1.021768e+00 1.000000e-01 8.102357e-04
1.020591e+00 1.000000e-01 9.597164e-04
1.019254e+00 1.000000e-01 1.129076e-03
1.017734e+00 1.000000e-01 1.320775e-03
1.016009e+00 1.000000e-01 1.537635e-03
1.014051e+00 1.000000e-01 1.782891e-03
1.011826e+00 1.000000e-01 2.060255e-03
1.009300e+00 1.000000e-01 2.373994e-03
1.006429e+00 1.000000e-01 2.729024e-03
1.003166e+00 1.000000e-01 3.131037e-03
1.003166e+00 1.000000e-01 3.131037e-03
9.994569e-01 1.000000e-01 3.586666e-03
9.952385e-01 1.000000e-01 4.103714e-03
9.904411e-01 1.000000e-01 4.691473e-03
9.849854e-01 1.000000e-01 5.361184e-03
9.787831e-01 1.000000e-01 6.126503e-03
9.717358e-01 1.000000e-01 6.999406e-03
9.637350e-01 1.000000e-01 7.988208e-03
9.546628e-01 1.000000e-01 9.103589e-03
9.443919e-01 1.000000e-01 1.035464e-02
9.327879e-01 1.000000e-01 1.174771e-02
9.197111e-01 1.000000e-01 1.328691e-02
9.050205e-01 1.000000e-01 1.497310e-02
8.885783e-01 1.000000e-01 1.680418e-02
8.702562e-01 1.000000e-01 1.877564e-02
8.499432e-01 1.000000e-01 2.088155e-02
8.275545e-01 1.000000e-01 2.311491e-02
8.030411e-01 1.000000e-01 2.546838e-02
7.763999e-01 1.000000e-01 2.793166e-02
7.476835e-01 1.000000e-01 3.048709e-02
7.170074e-01 1.000000e-01 3.310362e-02
6.845550e-01 1.000000e-01 3.572984e-02
6.505781e-01 1.000000e-01 3.829103e-02
6.153924e-01 1.000000e-01 4.069165e-02
5.793676e-01 1.000000e-01 4.282642e-02
5.429130e-01 1.000000e-01 4.459679e-02
5.064583e-01 1.000000e-01 4.592982e-02
4.704336e-01 1.000000e-01 4.678968e-02
4.352478e-01 1.000000e-01 4.718403e-02
4.012709e-01 1.000000e-01 4.715391e-02
3.688185e-01 1.000000e-01 4.676412e-02
3.381424e-01 1.000000e-01 4.608622e-02
3.094260e-01 1.000000e-01 4.518796e-02
2.827848e-01 1.000000e-01 4.412567e-02
2.582714e-01 1.000000e-01 4.294365e-02
2.358826e-01 1.000000e-01 4.167600e-02
2.155693e-01 1.000000e-01 4.035255e-02
1.972449e-01 1.000000e-01 3.900950e-02
1.807940e-01 1.000000e-01 3.770547e-02
1.660800e-01 1.000000e-01 3.654251e-02
1.529580e-01 1.000000e-01 3.567443e-02
1.412995e-01 1.000000e-01 3.528377e-02
1.310142e-01 1.000000e-01 3.551654e-02
1.220266e-01 1.000000e-01 3.638856e-02
1.141899e-01 1.000000e-01 3.772786e-02
1.072241e-01 1.000000e-01 3.921826e-02
1.007980e-01 1.000000e-01 4.052550e-02
9.468905e-02 1.000000e-01 4.142148e-02
8.883738e-02 1.000000e-01 4.182241e-02
8.327331e-02 1.000000e-01 4.174704e-02
7.803209e-02 1.000000e-01 4.124893e-02
7.312743e-02 1.000000e-01 4.037600e-02
6.856352e-02 1.000000e-01 3.916686e-02
6.434831e-02 1.000000e-01 3.766007e-02
6.049491e-02 1.000000e-01 3.589877e-02
5.701787e-02 1.000000e-01 3.393106e-02
5.392580e-02 1.000000e-01 3.180795e-02
5.121468e-02 1.000000e-01 2.957726e-02
4.887387e-02 1.000000e-01 2.728434e-02
4.688542e-02 1.000000e-01 2.497084e-02
4.522148e-02 1.000000e-01 2.266867e-02
4.385046e-02 1.000000e-01 2.040203e-02
4.274042e-02 1.000000e-01 1.818979e-02
4.185999e-02 1.000000e-01 1.604626e-02
4.117867e-02 1.000000e-01 1.398154e-02
4.066646e-02 1.000000e-01 1.199693e-02
4.029676e-02 1.000000e-01 1.009339e-02
4.004692e-02 1.000000e-01 8.286471e-03
3.989367e-02 1.000000e-01 6.537384e-03
3.982478e-02 1.000000e-01 4.930530e-03
3.981972e-02 1.000000e-01 3.241797e-03
3.985545e-02 1.000000e-01 1.904087e-03
4.001702e-02 1.000000e-01 -1.478518e-04
4.013284e-02 1.000000e-01 -1.134037e-03
4.024636e-02 1.000000e-01 -2.101126e-03
4.055957e-02 1.000000e-01 -4.030167e-03
4.079737e-02 1.000000e-01 -5.237815e-03
4.112699e-02 1.000000e-01 -6.711650e-03
4.147821e-02 1.000000e-01 -8.075953e-03
4.190684e-02 1.000000e-01 -9.531325e-03
4.239952e-02 1.000000e-01 -1.101338e-02
4.297595e-02 1.000000e-01 -1.256358e-02
4.364842e-02 1.000000e-01 -1.417992e-02
4.443623e-02 1.000000e-01 -1.587269e-02
4.536371e-02 1.000000e-01 -1.765033e-02
4.645853e-02 1.000000e-01 -1.951187e-02
4.775241e-02 1.000000e-01 -2.145059e-02
4.927984e-02 1.000000e-01 -2.345400e-02
5.107672e-02 1.000000e-01 -2.550371e-02
5.317700e-02 1.000000e-01 -2.757390e-02
5.560692e-02 1.000000e-01 -2.962952e-02
5.838663e-02 1.000000e-01 -3.163162e-02
6.152916e-02 1.000000e-01 -3.353858e-02
6.503231e-02 1.000000e-01 -3.530554e-02
6.888147e-02 1.000000e-01 -3.689119e-02
7.305472e-02 1.000000e-01 -3.826231e-02
7.753046e-02 1.000000e-01 -3.939866e-02
8.230308e-02 1.000000e-01 -4.029871e-02
8.740175e-02 1.000000e-01 -4.098050e-02
9.290389e-02 1.000000e-01 -4.147365e-02
9.893198e-02 1.000000e-01 -4.180035e-02
1.056278e-01 1.000000e-01 -4.194975e-02
1.131127e-01 1.000000e-01 -4.186587e-02
1.214708e-01 1.000000e-01 -4.148137e-02
1.307801e-01 1.000000e-01 -4.079699e-02
1.411696e-01 1.000000e-01 -3.995267e-02
1.528299e-01 1.000000e-01 -3.920831e-02
1.659575e-01 1.000000e-01 -3.883026e-02
1.807067e-01 1.000000e-01 -3.896528e-02
1.971992e-01 1.000000e-01 -3.959284e-02
2.155515e-01 1.000000e-01 -4.057524e-02
2.358775e-01 1.000000e-01 -4.174391e-02
2.582703e-01 1.000000e-01 -4.295939e-02
2.827847e-01 1.000000e-01 -4.412820e-02
3.094260e-01 1.000000e-01 -4.518820e-02
3.381424e-01 1.000000e-01 -4.608622e-02
3.688185e-01 1.000000e-01 -4.676412e-02
4.012709e-01 1.000000e-01 -4.715391e-02
4.352478e-01 1.000000e-01 -4.718403e-02
4.704336e-01 1.000000e-01 -4.678968e-02
5.064583e-01 1.000000e-01 -4.592982e-02
5.429130e-01 1.000000e-01 -4.459679e-02
5.793676e-01 1.000000e-01 -4.282642e-02
6.153924e-01 1.000000e-01 -4.069165e-02
6.505781e-01 1.000000e-01 -3.829103e-02
6.845550e-01 1.000000e-01 -3.572984e-02
7.170074e-01 1.000000e-01 -3.310362e-02
7.476835e-01 1.000000e-01 -3.048709e-02
7.763999e-01 1.000000e-01 -2.793166e-02
8.030411e-01 1.000000e-01 -2.546838e-02
8.275545e-01 1.000000e-01 -2.311491e-02
8.499432e-01 1.000000e-01 -2.088155e-02
8.702562e-01 1.000000e-01 -1.877564e-02
8.885783e-01 1.000000e-01 -1.680418e-02
9.050205e-01 1.000000e-01 -1.497310e-02
9.197111e-01 1.000000e-01 -1.328691e-02
9.327879e-01 1.000000e-01 -1.174771e-02
9.443919e-01 1.000000e-01 -1.035464e-02
9.546628e-01 1.000000e-01 -9.103589e-03
9.637350e-01 1.000000e-01 -7.988208e-03
9.717358e-01 1.000000e-01 -6.999406e-03
9.787831e-01 1.000000e-01 -6.126503e-03
9.849854e-01 1.000000e-01 -5.361184e-03
9.904411e-01 1.000000e-01 -4.691473e-03
9.952385e-01 1.000000e-01 -4.103714e-03
9.994569e-01 1.000000e-01 -3.586666e-03
1.003166e+00 1.000000e-01 -3.131037e-03
