VARIABLES = "X_ICED" "Y_ICED" "Z_ICED"

ZONE T="SLICE_Y_0p10_BINS07_KS_0p5mm_SINGLE_LAYER"
1.028093e+00 1.000000e-01 0.000000e+00
1.027670e+00 1.000000e-01 5.436315e-05
1.026310e+00 1.000000e-01 2.291511e-04
1.023709e+00 1.000000e-01 5.626273e-04
1.023709e+00 1.000000e-01 5.626273e-04
1.019254e+00 1.000000e-01 1.129076e-03
1.011826e+00 1.000000e-01 2.060255e-03
9.994569e-01 1.000000e-01 3.586712e-03
9.787832e-01 1.000000e-01 6.127196e-03
9.443925e-01 1.000000e-01 1.035991e-02
8.885812e-01 1.000000e-01 1.683084e-02
8.030506e-01 1.000000e-01 2.556980e-02
6.845762e-01 1.000000e-01 3.603698e-02
5.429398e-01 1.000000e-01 4.536480e-02
4.012636e-01 1.000000e-01 4.879941e-02
2.826555e-01 1.000000e-01 4.719888e-02
1.968497e-01 1.000000e-01 4.404674e-02
1.404743e-01 1.000000e-01 4.100776e-02
1.048997e-01 1.000000e-01 3.863264e-02
8.220087e-02 1.000000e-01 3.612454e-02
6.711229e-02 1.000000e-01 3.194066e-02
5.679213e-02 1.000000e-01 2.620269e-02
4.991313e-02 1.000000e-01 1.967676e-02
4.567485e-02 1.000000e-01 1.297045e-02
4.345823e-02 1.000000e-01 6.401744e-03
4.281103e-02 1.000000e-01 -8.344003e-05
4.359030e-02 1.000000e-01 -6.528515e-03
4.589108e-02 1.000000e-01 -1.299233e-02
5.012851e-02 1.000000e-01 -1.957330e-02
5.691326e-02 1.000000e-01 -2.602936e-02
6.709066e-02 1.000000e-01 -3.183062e-02
8.206930e-02 1.000000e-01 -3.623218e-02
1.047445e-01 1.000000e-01 -3.903937e-02
1.403598e-01 1.000000e-01 -4.165251e-02
1.967839e-01 1.000000e-01 -4.477448e-02
2.826279e-01 1.000000e-01 -4.785662e-02
4.012627e-01 1.000000e-01 -4.929090e-02
5.429512e-01 1.000000e-01 -4.567193e-02
6.845876e-01 1.000000e-01 -3.619708e-02
8.030570e-01 1.000000e-01 -2.563758e-02
8.885837e-01 1.000000e-01 -1.685352e-02
9.443932e-01 1.000000e-01 -1.036563e-02
9.787833e-01 1.000000e-01 -6.128177e-03
9.994569e-01 1.000000e-01 -3.586800e-03
1.011826e+00 1.000000e-01 -2.060256e-03
1.019254e+00 1.000000e-01 -1.129076e-03
1.023709e+00 1.000000e-01 -5.626273e-04
1.026310e+00 1.000000e-01 -2.291511e-04
1.027670e+00 1.000000e-01 -5.436315e-05

ZONE T="SLICE_Y_0p75_BINS07_KS_0p5mm_SINGLE_LAYER"
1.210699e+00 7.500000e-01 0.000000e+00
1.210360e+00 7.500000e-01 4.356982e-05
1.209270e+00 7.500000e-01 1.836552e-04
1.207185e+00 7.500000e-01 4.509226e-04
1.207185e+00 7.500000e-01 4.509226e-04
1.203614e+00 7.500000e-01 9.049080e-04
1.197662e+00 7.500000e-01 1.651209e-03
1.187748e+00 7.500000e-01 2.874565e-03
1.171179e+00 7.500000e-01 4.910139e-03
1.143616e+00 7.500000e-01 8.298819e-03
1.098884e+00 7.500000e-01 1.346839e-02
1.030330e+00 7.500000e-01 2.042189e-02
9.353729e-01 7.500000e-01 2.870818e-02
